Команда,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Три Икса,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1
Город утраТ,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
E=mc^2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Понты Пилата,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1
TGDNSKY KOHb,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Бронепоезд из Ромашково,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
KID,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Гладиолус,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
X-promt,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Black Label,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Арокс и Штёр,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
23 красное,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Non-Sense,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
Total,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
Клевер,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Зима далеко!,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1
ЧТД,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Мы не пьём!,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
ДРЭНК,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
Дежавю,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Дубль два,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Вшестером,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Гуру пикапа,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Fool House,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
